AGF Management Limited,AGF.B:TSX
ARC Resources Ltd.,ARX:TSX
ATCO Ltd.,ACO.X:TSX
ATS Automation Tooling Systems Inc.,ATA:TSX
Advantage Oil & Gas Ltd.,AAV:TSX
Aecon Group Inc.,ARE:TSX
Agnico Eagle Mines Limited,AEM:TSX
Agrium Inc.,AGU:TSX
Aimia Inc.,AIM:TSX
Air Canada,AC.B:TSX
Alacer Gold Corp.,ASR:TSX
Alamos Gold Inc.,AGI:TSX
Alaris Royalty Corp.,AD:TSX
Algonquin Power & Utilities Corp.,AQN:TSX
Alimentation Couche-Tard Inc.,ATD.B:TSX
Allied Properties Real Estate Investment Trust,AP.UN:TSX
AltaGas Ltd.,ALA:TSX
Argonaut Gold Inc.,AR:TSX
Artis Real Estate Investment Trust,AX.UN:TSX
Athabasca Oil Corporation,ATH:TSX
AuRico Gold Inc.,AUQ:TSX
Avigilon Corporation,AVO:TSX
B2Gold Corp.,BTO:TSX
BCE Inc.,BCE:TSX
BRP Inc.,DOO:TSX
Badger Daylighting Ltd.,BAD:TSX
Bank of Montreal,BMO:TSX
Bank of Nova Scotia (The),BNS:TSX
Bankers Petroleum Ltd.,BNK:TSX
Barrick Gold Corporation,ABX:TSX
Baytex Energy Corp.,BTE:TSX
Bell Aliant Inc.,BA:TSX
Bellatrix Exploration Ltd.,BXE:TSX
Birchcliff Energy Ltd.,BIR:TSX
Black Diamond Group Limited,BDI:TSX
BlackBerry Limited,BB:TSX
BlackPearl Resources Inc.,PXX:TSX
Boardwalk Real Estate Investment Trust,BEI.UN:TSX
Bombardier Inc.,BBD.B:TSX
Bonavista Energy Corporation,BNP:TSX
Bonterra Energy Corp.,BNE:TSX
Brookfield Asset Management Inc.,BAM.A:TSX
Brookfield Property Partners L.P.,BPY.UN:TSX
Brookfield Renewable Energy Partners L.P.,BEP.UN:TSX
CAE Inc.,CAE:TSX
CCL Industries Inc.,CCL.B:TSX
CGI Group Inc.,GIB.A:TSX
CI Financial Corp.,CIX:TSX
Calfrac Well Services Ltd.,CFW:TSX
Calloway Real Estate Investment Trust,CWT.UN:TSX
Cameco Corporation,CCO:TSX
Canadian Apartment Properties Real Estate Investment Trust,CAR.UN:TSX
Canadian Energy Services & Technology Corp.,CEU:TSX
Canadian Imperial Bank Of Commerce,CM:TSX
Canadian National Railway Company,CNR:TSX
Canadian Natural Resources Limited,CNQ:TSX
Canadian Oil Sands Limited,COS:TSX
